id,contrato_id,tipo,numero,receita_despesa,observacao,mesref,anoref,vencimento,retroativo,valor
20775058,35959,Termo Aditivo,00001/2019,Despesa,"CONTRATAÇÃO DE SERVIÇOS ESPECIALIZADOSNA GERAÇÃO DE MODELO DIGITAL DE TERRENO (MDT)E MODELAGEM DE OBSTÁCULOS PARA ÁREA NO ENTORNODE 34 (TRINTA E QUATRO) AERÓDROMOS DO TERRITORIO BRASILEIRO.O PRESENTE TERMO ADITIVO ALTERA SOMENTE A VIGÊNCIA,NÃO ALTERANDO O VALOR DA CONTRATAÇÃO.",10,2022,2019-11-01,Não,0.01
20775059,35959,Termo de Apostilamento,00002/2021,Despesa,REAJUSTE DO VALOR DO CONTRATO,2,2022,2021-03-01,Não,283139.28
20775091,35959,Termo de Apostilamento,00003/2021,Despesa,REAJUSTE DO CONTRATO,2,2022,2021-03-01,Não,272034.31
28704477,97393,Contrato,00002/2021,Despesa,CELEBRAÇÃO DO CONTRATO: 00002/2021 DE ACORDO COM PROCESSO NÚMERO: 10507.720557/2020-75,4,2021,2021-05-01,Não,32499.07
37144735,56292,Termo Aditivo,00003/2022,Despesa,PRORROGAÇÃO DA VIGÊNCIA DO CONTRATO Nº 72/2020 POR 12 (DOZE) MESES,8,2022,2022-09-01,Não,54849.16
37144743,56292,Termo Aditivo,00003/2022,Despesa,PRORROGAÇÃO DA VIGÊNCIA DO CONTRATO Nº 72/2020 POR 12 (DOZE) MESES,4,2023,2023-05-01,Não,54849.16
37144740,56292,Termo Aditivo,00003/2022,Despesa,PRORROGAÇÃO DA VIGÊNCIA DO CONTRATO Nº 72/2020 POR 12 (DOZE) MESES,1,2023,2023-02-01,Não,54849.16
37144736,56292,Termo Aditivo,00003/2022,Despesa,PRORROGAÇÃO DA VIGÊNCIA DO CONTRATO Nº 72/2020 POR 12 (DOZE) MESES,9,2022,2022-10-01,Não,54849.16
37144723,156235,Contrato,00015/2022,Despesa,CELEBRAÇÃO DO CONTRATO: 00005/2022 DE ACORDO COM PROCESSO NÚMERO: 23147.001120/2022-89,7,2022,2022-08-01,Não,2100.0
37144728,156235,Contrato,00015/2022,Despesa,CELEBRAÇÃO DO CONTRATO: 00005/2022 DE ACORDO COM PROCESSO NÚMERO: 23147.001120/2022-89,12,2022,2023-01-01,Não,2100.0
37144737,56292,Termo Aditivo,00003/2022,Despesa,PRORROGAÇÃO DA VIGÊNCIA DO CONTRATO Nº 72/2020 POR 12 (DOZE) MESES,10,2022,2022-11-01,Não,54849.16
37144722,156309,Contrato,19583/2022,Despesa,CELEBRAÇÃO DO CONTRATO: 19583/2022 DE ACORDO COM PROCESSO NÚMERO: 23428.001333/2022-54,9,2022,2022-10-01,Não,20600.0
37144725,156235,Contrato,00015/2022,Despesa,CELEBRAÇÃO DO CONTRATO: 00005/2022 DE ACORDO COM PROCESSO NÚMERO: 23147.001120/2022-89,9,2022,2022-10-01,Não,2100.0
37144732,156235,Contrato,00015/2022,Despesa,CELEBRAÇÃO DO CONTRATO: 00005/2022 DE ACORDO COM PROCESSO NÚMERO: 23147.001120/2022-89,4,2023,2023-05-01,Não,2100.0
37144790,152283,Termo Aditivo,00013/2022,Despesa,"FICA TEMPORARIAMENTE SUSPENSO A QUANTIDADE DE 01 (UM) POSTO DE AUXILIAR ADMINISTRATIVO E 01(UM) POSTO DE RECEPCIONISTA, PREVISTOS NA CLÁUSULA PRIMEIRA DO CONTRATO Nº 12/2022. O VALOR TOTAL ESTIMADO DO CONTRATO PREVISTO NA CLÁUSULA TERCEIRA FICA ALTERADO, PASSANDO PARA R$ 338.906,10 .",8,2022,2022-09-01,Não,547221.3
37144799,155861,Contrato,00054/2022,Despesa,CELEBRAÇÃO DO CONTRATO: 00054/2022 DE ACORDO COM PROCESSO NÚMERO: 35014.280544/2020-22,3,2023,2023-04-01,Não,31694.2
37144730,156235,Contrato,00015/2022,Despesa,CELEBRAÇÃO DO CONTRATO: 00005/2022 DE ACORDO COM PROCESSO NÚMERO: 23147.001120/2022-89,2,2023,2023-03-01,Não,2100.0
37144798,155861,Contrato,00054/2022,Despesa,CELEBRAÇÃO DO CONTRATO: 00054/2022 DE ACORDO COM PROCESSO NÚMERO: 35014.280544/2020-22,2,2023,2023-03-01,Não,31694.2
37144800,155861,Contrato,00054/2022,Despesa,CELEBRAÇÃO DO CONTRATO: 00054/2022 DE ACORDO COM PROCESSO NÚMERO: 35014.280544/2020-22,4,2023,2023-05-01,Não,31694.2
37144803,63347,Termo Aditivo,00001/2022,Despesa,PRORROGAÇÃO DE VIGÊNCIA CONTRATUAL ENTRE A POLICLÍNICA MILITAR DE PORTO ALEGRE E A ORGANIZAÇÃO CIVIL DE SAÚDE.,9,2022,2022-10-01,Não,60000.0
37144835,24040,Contrato,01000/2017,Despesa,CELEBRAÇÃO DO CONTRATO: 01000/2017 DE ACORDO COM PROCESSO NÚMERO: 54230.004587/2016-17,2,2017,2017-03-01,Não,102023.33
37144917,24040,Termo Aditivo,01005/2019,Despesa,"O PRESENTE TERMO ADITIVO,  ALTERA O VALOR DO CONTRATO CRT/MA 1.000/2017, PASSANDO DOSATUAIS R$ 111.607,53, PARA R$ 119.662,53, MENSAIS, A PARTIR DE 01.02.2019. CONFORME CONVENÇÃO COLETIVA DA CATEGORIA MA000044/2019 REF. 2019/2020.",12,2019,2020-01-01,Não,-19206.08
37144918,24040,Termo Aditivo,01005/2019,Despesa,"O PRESENTE TERMO ADITIVO,  ALTERA O VALOR DO CONTRATO CRT/MA 1.000/2017, PASSANDO DOSATUAIS R$ 111.607,53, PARA R$ 119.662,53, MENSAIS, A PARTIR DE 01.02.2019. CONFORME CONVENÇÃO COLETIVA DA CATEGORIA MA000044/2019 REF. 2019/2020.",1,2020,2020-02-01,Não,-19206.08
37144867,24040,Termo Aditivo,01002/2018,Despesa,"PRORROGAR POR MAIS 12 (DOZE) MESES O CONTRATO NO. CRT/MA 1.000/2017, AS DEMAIS CLAUSULAS PERMANECEM INALTERADAS.",10,2018,2018-11-01,Não,107204.76
37144958,63349,Termo Aditivo,00001/2022,Despesa,PRORROGAÇÃO DE VIGÊNCIA CONTRATUAL ENTRE A POLICLÍNICA MILITAR DE PORTO ALEGRE E A ORGANIZAÇÃO CIVIL DE SAÚDE.,10,2022,2022-11-01,Não,60000.0
37144957,63349,Termo Aditivo,00001/2022,Despesa,PRORROGAÇÃO DE VIGÊNCIA CONTRATUAL ENTRE A POLICLÍNICA MILITAR DE PORTO ALEGRE E A ORGANIZAÇÃO CIVIL DE SAÚDE.,9,2022,2022-10-01,Não,60000.0
37144787,156311,Contrato,00025/2022,Despesa,CELEBRAÇÃO DO CONTRATO: 00025/2022 DE ACORDO COM PROCESSO NÚMERO: 23765.004038/2022-29,5,2023,2023-06-01,Não,5865.0
37144868,24040,Termo Aditivo,01002/2018,Despesa,"PRORROGAR POR MAIS 12 (DOZE) MESES O CONTRATO NO. CRT/MA 1.000/2017, AS DEMAIS CLAUSULAS PERMANECEM INALTERADAS.",11,2018,2018-12-01,Não,107204.76
37144745,56292,Termo Aditivo,00003/2022,Despesa,PRORROGAÇÃO DA VIGÊNCIA DO CONTRATO Nº 72/2020 POR 12 (DOZE) MESES,6,2023,2023-07-01,Não,54849.16
37144900,24040,Termo Aditivo,01006/2019,Despesa,"O PRESENTE TERMO ADITIVO AO CONRATO CRT/MA Nº 1.000/2017.É O ACRÉSCIMO DE 01(UM) POSTODE VIGILANCIA ARMADA DIURNO E NOTURNO, DE 24 HSDE SEGUNDA A DOMINGO, A  PARTIR DE 01/06/2019.EM VIRTUDE A MUDANÇA DA SEDE DA SR(12)MA PARA O NOVO PREDIO.",7,2019,2019-08-01,Não,28261.08
37144956,155830,Contrato,00031/2022,Despesa,CELEBRAÇÃO DO CONTRATO: 00031/2022 DE ACORDO COM PROCESSO NÚMERO: 64135.000431/2022-47,8,2022,2022-09-01,Não,10000.0
37144779,156311,Contrato,00025/2022,Despesa,CELEBRAÇÃO DO CONTRATO: 00025/2022 DE ACORDO COM PROCESSO NÚMERO: 23765.004038/2022-29,9,2022,2022-10-01,Não,5865.0
37144724,156235,Contrato,00015/2022,Despesa,CELEBRAÇÃO DO CONTRATO: 00005/2022 DE ACORDO COM PROCESSO NÚMERO: 23147.001120/2022-89,8,2022,2022-09-01,Não,2100.0
37144729,156235,Contrato,00015/2022,Despesa,CELEBRAÇÃO DO CONTRATO: 00005/2022 DE ACORDO COM PROCESSO NÚMERO: 23147.001120/2022-89,1,2023,2023-02-01,Não,2100.0
37144726,156235,Contrato,00015/2022,Despesa,CELEBRAÇÃO DO CONTRATO: 00005/2022 DE ACORDO COM PROCESSO NÚMERO: 23147.001120/2022-89,10,2022,2022-11-01,Não,2100.0
37144738,56292,Termo Aditivo,00003/2022,Despesa,PRORROGAÇÃO DA VIGÊNCIA DO CONTRATO Nº 72/2020 POR 12 (DOZE) MESES,11,2022,2022-12-01,Não,54849.16
37144741,56292,Termo Aditivo,00003/2022,Despesa,PRORROGAÇÃO DA VIGÊNCIA DO CONTRATO Nº 72/2020 POR 12 (DOZE) MESES,2,2023,2023-03-01,Não,54849.16
37144731,156235,Contrato,00015/2022,Despesa,CELEBRAÇÃO DO CONTRATO: 00005/2022 DE ACORDO COM PROCESSO NÚMERO: 23147.001120/2022-89,3,2023,2023-04-01,Não,2100.0
37144828,156312,Contrato,00005/2022,Despesa,CELEBRAÇÃO DO CONTRATO: 00005/2022 DE ACORDO COM PROCESSO NÚMERO: 21079.000199/2021-70,10,2022,2022-11-01,Não,1765.6
37144721,77070,Termo de Apostilamento,00001/2022,Despesa,"REAJUSTE EM 7,42% (SETE INTEIROS E QUARENTA E DOIS CENTÉSIMOS POR CENTO), PASSANDO O VALOR TOTAL DA CONTRATAÇÃO DE R$ 555.000,00 (QUINHENTOS E CINQUENTA E CINCO MIL REAIS) PARA R$ 596.181,12 (QUINHENTOS E NOVENTA E SEIS MIL CENTO E OITENTA E UM REAIS E DOZE CENTAVOS)",12,2022,2023-01-01,Não,49681.76
37144718,77070,Termo de Apostilamento,00001/2022,Despesa,"REAJUSTE EM 7,42% (SETE INTEIROS E QUARENTA E DOIS CENTÉSIMOS POR CENTO), PASSANDO O VALOR TOTAL DA CONTRATAÇÃO DE R$ 555.000,00 (QUINHENTOS E CINQUENTA E CINCO MIL REAIS) PARA R$ 596.181,12 (QUINHENTOS E NOVENTA E SEIS MIL CENTO E OITENTA E UM REAIS E DOZE CENTAVOS)",9,2022,2022-10-01,Não,3431.76
37144719,77070,Termo de Apostilamento,00001/2022,Despesa,"REAJUSTE EM 7,42% (SETE INTEIROS E QUARENTA E DOIS CENTÉSIMOS POR CENTO), PASSANDO O VALOR TOTAL DA CONTRATAÇÃO DE R$ 555.000,00 (QUINHENTOS E CINQUENTA E CINCO MIL REAIS) PARA R$ 596.181,12 (QUINHENTOS E NOVENTA E SEIS MIL CENTO E OITENTA E UM REAIS E DOZE CENTAVOS)",10,2022,2022-11-01,Não,3431.76
37144717,77070,Termo de Apostilamento,00001/2022,Despesa,"REAJUSTE EM 7,42% (SETE INTEIROS E QUARENTA E DOIS CENTÉSIMOS POR CENTO), PASSANDO O VALOR TOTAL DA CONTRATAÇÃO DE R$ 555.000,00 (QUINHENTOS E CINQUENTA E CINCO MIL REAIS) PARA R$ 596.181,12 (QUINHENTOS E NOVENTA E SEIS MIL CENTO E OITENTA E UM REAIS E DOZE CENTAVOS)",8,2022,2022-09-01,Não,3431.76
37144720,77070,Termo de Apostilamento,00001/2022,Despesa,"REAJUSTE EM 7,42% (SETE INTEIROS E QUARENTA E DOIS CENTÉSIMOS POR CENTO), PASSANDO O VALOR TOTAL DA CONTRATAÇÃO DE R$ 555.000,00 (QUINHENTOS E CINQUENTA E CINCO MIL REAIS) PARA R$ 596.181,12 (QUINHENTOS E NOVENTA E SEIS MIL CENTO E OITENTA E UM REAIS E DOZE CENTAVOS)",11,2022,2022-12-01,Não,3431.76
37144836,24040,Contrato,01000/2017,Despesa,CELEBRAÇÃO DO CONTRATO: 01000/2017 DE ACORDO COM PROCESSO NÚMERO: 54230.004587/2016-17,3,2017,2017-04-01,Não,102023.33
37144817,63348,Termo Aditivo,00001/2022,Despesa,PRORROGAÇÃO DE VIGÊNCIA CONTRATUAL ENTRE A POLICLÍNICA MILITAR DE PORTO ALEGRE E A ORGANIZAÇÃO CIVIL DE SAÚDE.,12,2022,2023-01-01,Não,60000.0
37144727,156235,Contrato,00015/2022,Despesa,CELEBRAÇÃO DO CONTRATO: 00005/2022 DE ACORDO COM PROCESSO NÚMERO: 23147.001120/2022-89,11,2022,2022-12-01,Não,2100.0
